<0.35435274, -3.3714292, 8.6082916>, <1.0475681, -3.2240815, 7.3785357>, 
<0.35435274, -3.3714292, 8.6082916>, <-1.047568, -3.2240815, 8.6082916>, 
<0.35435274, -3.3714292, 8.6082916>, <1.0475681, -3.2240815, 9.838048>, 
<2.7425685, -1.992591, 8.6082916>, <2.2683544, -2.5192597, 7.3785357>, 
<2.7425685, -1.992591, 8.6082916>, <3.3159211, -0.70481771, 8.6082916>, 
<2.7425685, -1.992591, 8.6082916>, <2.2683544, -2.5192597, 9.838048>, 
<3.3159211, -0.70481771, 8.6082916>, <3.3900001, 2.20920447e-06, 7.3785357>, 
<3.3159211, -0.70481771, 8.6082916>, <2.7425685, -1.992591, 8.6082916>, 
<3.3159211, -0.70481771, 8.6082916>, <3.3900001, 2.20920447e-06, 9.838048>, 
<2.7425659, 1.9925946, 8.6082916>, <3.0969176, 1.3788408, 7.3785357>, 
<2.7425659, 1.9925946, 8.6082916>, <1.694996, 2.9358287, 8.6082916>, 
<2.7425659, 1.9925946, 8.6082916>, <3.0969176, 1.3788408, 9.838048>, 
<1.694996, 2.9358287, 8.6082916>, <1.0475639, 3.2240829, 7.3785357>, 
<1.694996, 2.9358287, 8.6082916>, <2.7425659, 1.9925946, 8.6082916>, 
<1.694996, 2.9358287, 8.6082916>, <1.0475639, 3.2240829, 9.838048>, 
<-1.0475723, 3.2240801, 8.6082916>, <-0.35435706, 3.3714287, 7.3785357>, 
<-1.0475723, 3.2240801, 8.6082916>, <-2.2683575, 2.5192566, 8.6082916>, 
<-1.0475723, 3.2240801, 8.6082916>, <-0.35435706, 3.3714287, 9.838048>, 
<-2.2683575, 2.5192566, 8.6082916>, <-2.7425711, 1.9925874, 7.3785357>, 
<-2.2683575, 2.5192566, 8.6082916>, <-1.0475723, 3.2240801, 8.6082916>, 
<-2.2683575, 2.5192566, 8.6082916>, <-2.7425711, 1.9925874, 9.838048>, 
<-3.3900001, -6.54676296e-06, 8.6082916>, <-3.3159213, 0.70481664, 7.3785357>, 
<-3.3900001, -6.54676296e-06, 8.6082916>, <-3.0969172, -1.3788418, 8.6082916>, 
<-3.3900001, -6.54676296e-06, 8.6082916>, <-3.315922, 0.70481348, 9.838048>, 
<-3.0969172, -1.3788418, 8.6082916>, <-2.7425675, -1.9925923, 7.3785357>, 
<-3.0969172, -1.3788418, 8.6082916>, <-3.3900001, -6.54676296e-06, 8.6082916>, 
<-3.0969172, -1.3788418, 8.6082916>, <-2.7425632, -1.9925981, 9.838048>, 
<1.0475681, -3.2240815, 9.838048>, <0.35435274, -3.3714292, 8.6082916>, 
<1.0475681, -3.2240815, 9.838048>, <2.2683544, -2.5192597, 9.838048>, 
<1.0475681, -3.2240815, 9.838048>, <0.35435817, -3.3714287, 11.067804>, 
<2.2683544, -2.5192597, 9.838048>, <2.7425685, -1.992591, 8.6082916>, 
<2.2683544, -2.5192597, 9.838048>, <1.0475681, -3.2240815, 9.838048>, 
<2.2683544, -2.5192597, 9.838048>, <2.7425685, -1.992591, 11.067804>, 
<3.3900001, 2.20920447e-06, 9.838048>, <3.3159211, -0.70481771, 8.6082916>, 
<3.3900001, 2.20920447e-06, 9.838048>, <3.0969176, 1.3788408, 9.838048>, 
<3.3900001, 2.20920447e-06, 9.838048>, <3.3159211, -0.70481771, 11.067804>, 
<3.0969176, 1.3788408, 9.838048>, <2.7425659, 1.9925946, 8.6082916>, 
<3.0969176, 1.3788408, 9.838048>, <3.3900001, 2.20920447e-06, 9.838048>, 
<3.0969176, 1.3788408, 9.838048>, <2.7425659, 1.9925946, 11.067804>, 
<1.0475639, 3.2240829, 9.838048>, <1.694996, 2.9358287, 8.6082916>, 
<1.0475639, 3.2240829, 9.838048>, <-0.35435706, 3.3714287, 9.838048>, 
<1.0475639, 3.2240829, 9.838048>, <1.694996, 2.9358287, 11.067804>, 
<-0.35435706, 3.3714287, 9.838048>, <-1.0475723, 3.2240801, 8.6082916>, 
<-0.35435706, 3.3714287, 9.838048>, <1.0475639, 3.2240829, 9.838048>, 
<-0.35435706, 3.3714287, 9.838048>, <-1.0475723, 3.2240801, 11.067804>, 
<-2.7425711, 1.9925874, 9.838048>, <-2.2683575, 2.5192566, 8.6082916>, 
<-2.7425711, 1.9925874, 9.838048>, <-3.315922, 0.70481348, 9.838048>, 
<-2.7425711, 1.9925874, 9.838048>, <-2.2683575, 2.5192566, 11.067804>, 
<-3.315922, 0.70481348, 9.838048>, <-3.3900001, -6.54676296e-06, 8.6082916>, 
<-3.315922, 0.70481348, 9.838048>, <-2.7425711, 1.9925874, 9.838048>, 
<-3.315922, 0.70481348, 9.838048>, <-3.3900001, -6.54676296e-06, 11.067804>, 
<-2.7425632, -1.9925981, 9.838048>, <-3.0969172, -1.3788418, 8.6082916>, 
<-2.7425632, -1.9925981, 9.838048>, <-1.694995, -2.9358292, 9.838048>, 
<-2.7425632, -1.9925981, 9.838048>, <-3.096916, -1.3788447, 11.067804>, 
<-1.694995, -2.9358292, 9.838048>, <-1.047568, -3.2240815, 8.6082916>, 
<-1.694995, -2.9358292, 9.838048>, <-2.7425632, -1.9925981, 9.838048>, 
<-1.694995, -2.9358292, 9.838048>, <-1.0475597, -3.2240841, 11.067804>, 
<2.7425685, -1.992591, 11.067804>, <2.2683544, -2.5192597, 9.838048>, 
<2.7425685, -1.992591, 11.067804>, <3.3159211, -0.70481771, 11.067804>, 
<2.7425685, -1.992591, 11.067804>, <2.2683585, -2.5192559, 12.297561>, 
<3.3159211, -0.70481771, 11.067804>, <3.3900001, 2.20920447e-06, 9.838048>, 
<3.3159211, -0.70481771, 11.067804>, <2.7425685, -1.992591, 11.067804>, 
<3.3159211, -0.70481771, 11.067804>, <3.3900001, 2.20920447e-06, 12.297561>, 
<2.7425659, 1.9925946, 11.067804>, <3.0969176, 1.3788408, 9.838048>, 
<2.7425659, 1.9925946, 11.067804>, <1.694996, 2.9358287, 11.067804>, 
<2.7425659, 1.9925946, 11.067804>, <3.0969176, 1.3788408, 12.297561>, 
<1.694996, 2.9358287, 11.067804>, <1.0475639, 3.2240829, 9.838048>, 
<1.694996, 2.9358287, 11.067804>, <2.7425659, 1.9925946, 11.067804>, 
<1.694996, 2.9358287, 11.067804>, <1.0475639, 3.2240829, 12.297561>, 
<-1.0475723, 3.2240801, 11.067804>, <-0.35435706, 3.3714287, 9.838048>, 
<-1.0475723, 3.2240801, 11.067804>, <-2.2683575, 2.5192566, 11.067804>, 
<-1.0475723, 3.2240801, 11.067804>, <-0.35435706, 3.3714287, 12.297561>, 
<-2.2683575, 2.5192566, 11.067804>, <-2.7425711, 1.9925874, 9.838048>, 
<-2.2683575, 2.5192566, 11.067804>, <-1.0475723, 3.2240801, 11.067804>, 
<-2.2683575, 2.5192566, 11.067804>, <-2.7425711, 1.9925874, 12.297561>, 
<-3.3900001, -6.54676296e-06, 11.067804>, <-3.315922, 0.70481348, 9.838048>, 
<-3.3900001, -6.54676296e-06, 11.067804>, <-3.096916, -1.3788447, 11.067804>, 
<-3.3900001, -6.54676296e-06, 11.067804>, <-3.315922, 0.70481348, 12.297561>, 
<-3.096916, -1.3788447, 11.067804>, <-2.7425632, -1.9925981, 9.838048>, 
<-3.096916, -1.3788447, 11.067804>, <-3.3900001, -6.54676296e-06, 11.067804>, 
<-3.096916, -1.3788447, 11.067804>, <-2.7425632, -1.9925981, 12.297561>, 
<-1.0475597, -3.2240841, 11.067804>, <-1.694995, -2.9358292, 9.838048>, 
<-1.0475597, -3.2240841, 11.067804>, <0.35435817, -3.3714287, 11.067804>, 
<-1.0475597, -3.2240841, 11.067804>, <-1.6949922, -2.9358308, 12.297561>, 
<0.35435817, -3.3714287, 11.067804>, <1.0475681, -3.2240815, 9.838048>, 
<0.35435817, -3.3714287, 11.067804>, <-1.0475597, -3.2240841, 11.067804>, 
<0.35435817, -3.3714287, 11.067804>, <1.0475763, -3.2240789, 12.297561>, 
<3.3900001, 2.20920447e-06, 12.297561>, <3.3159211, -0.70481771, 11.067804>, 
<3.3900001, 2.20920447e-06, 12.297561>, <3.0969176, 1.3788408, 12.297561>, 
<3.3900001, 2.20920447e-06, 12.297561>, <3.3159223, -0.70481241, 13.527317>, 
<3.0969176, 1.3788408, 12.297561>, <2.7425659, 1.9925946, 11.067804>, 
<3.0969176, 1.3788408, 12.297561>, <3.3900001, 2.20920447e-06, 12.297561>, 
<3.0969176, 1.3788408, 12.297561>, <2.7425659, 1.9925946, 13.527317>, 
<1.0475639, 3.2240829, 12.297561>, <1.694996, 2.9358287, 11.067804>, 
<1.0475639, 3.2240829, 12.297561>, <-0.35435706, 3.3714287, 12.297561>, 
<1.0475639, 3.2240829, 12.297561>, <1.694996, 2.9358287, 13.527317>, 
<-0.35435706, 3.3714287, 12.297561>, <-1.0475723, 3.2240801, 11.067804>, 
<-0.35435706, 3.3714287, 12.297561>, <1.0475639, 3.2240829, 12.297561>, 
<-0.35435706, 3.3714287, 12.297561>, <-1.0475723, 3.2240801, 13.527317>, 
<-2.7425711, 1.9925874, 12.297561>, <-2.2683575, 2.5192566, 11.067804>, 
<-2.7425711, 1.9925874, 12.297561>, <-3.315922, 0.70481348, 12.297561>, 
<-2.7425711, 1.9925874, 12.297561>, <-2.2683575, 2.5192566, 13.527317>, 
